,x,y
0,0,3
1,1,4
2,2,5
3,3,0
4,4,1
5,5,2
6,0,1
7,2,4
8,1,2
9,0,4
10,3,4
11,1,5
12,2,3
13,0,2
14,4,5
15,0,5
16,1,3
17,3,5
